0	0	3
1	1	3
2	2	3
3	3	1
4	4	5
5	5	4
6	6	4
7	7	4
8	8	5
9	9	5
10	10	3
11	11	5
12	12	5
13	13	5
14	14	5
15	15	4
16	16	4
17	17	5
18	18	5
19	19	3
20	20	5
21	21	1
22	22	4
23	23	1
24	24	5
25	25	5
26	26	5
27	27	1
28	28	4
29	29	5
30	30	5
31	31	2
32	32	4
33	33	5
34	34	4
35	35	4
36	36	5
37	37	4
38	38	5
39	39	5
40	40	4
41	41	4
42	42	1
43	43	5
44	44	5
45	45	4
46	46	4
47	47	4
48	44	5
49	29	5
50	48	4
51	49	4
52	50	5
53	51	1
54	44	5
55	52	5
56	53	5
57	54	4
28	55	4
58	56	3
59	57	3
60	58	5
61	59	4
62	60	5
63	61	2
64	62	4
65	63	5
66	64	1
67	65	4
68	66	4
69	67	5
70	68	1
71	69	5
72	70	2
73	71	4
74	72	4
75	73	4
76	74	1
77	75	5
78	76	4
79	77	4
80	12	1
81	78	1
82	79	1
83	80	5
84	81	4
85	15	4
86	82	1
87	83	3
88	84	5
89	85	4
90	86	5
91	87	4
92	88	5
93	89	5
94	90	3
95	65	3
96	91	4
97	87	5
98	92	5
99	93	5
100	94	2
101	95	5
102	96	5
103	97	5
104	98	5
105	99	4
106	100	4
107	15	4
108	101	3
109	102	5
110	103	3
111	104	5
112	105	1
113	106	5
114	107	4
115	108	5
116	109	5
117	110	5
118	111	4
119	112	3
120	113	5
121	114	3
122	115	5
123	116	4
124	117	5
125	111	5
126	118	4
127	119	5
128	120	5
129	6	5
130	121	4
131	93	4
132	43	5
133	122	4
134	123	5
135	124	5
136	125	4
137	126	5
138	127	4
139	128	1
140	129	5
141	130	4
142	131	3
143	132	5
144	133	5
145	134	2
146	135	4
147	136	1
148	137	5
149	138	2
150	139	4
151	140	4
152	141	2
153	142	5
154	23	4
155	143	4
156	144	5
157	145	5
158	146	3
159	147	5
160	76	4
161	148	4
162	149	5
163	150	2
164	151	3
165	152	4
166	153	4
167	154	2
168	155	5
169	156	5
170	157	5
171	158	4
172	159	5
173	160	1
174	161	5
175	39	5
176	162	1
177	160	2
178	72	4
179	163	4
180	164	4
181	165	1
182	166	5
183	167	5
184	168	1
185	169	5
186	170	1
187	171	4
188	65	1
189	172	3
190	173	5
191	174	5
192	175	1
193	115	4
194	176	5
195	177	5
196	119	5
197	178	4
198	178	4
199	179	4
200	65	5
201	180	5
202	132	2
203	24	4
204	173	3
205	181	2
206	182	5
207	183	5
208	122	5
209	184	4
210	185	5
211	186	4
212	187	4
213	188	5
214	189	2
215	190	1
216	191	3
217	192	1
218	193	5
219	194	1
220	195	5
221	196	3
222	122	5
223	197	5
224	198	4
225	188	5
226	199	4
227	200	4
228	201	1
229	202	5
230	203	5
231	204	5
232	104	2
233	205	4
234	64	4
235	206	4
